Ravens,RavensO,Browns,BrownsO,Texans,TexansO,Chiefs,ChiefsO,Wash,WashO,Bengals,BengalsO
38,6,6,38,20,34,34,20,27,17,13,16
33,16,35,30,16,33,23,20,15,30,30,35
20,34,34,20,21,28,34,20,20,34,23,23
31,17,49,38,23,31,26,10,17,31,33,25
27,3,32,23,30,14,32,40,10,30,3,27
30,28,7,38,36,42,26,17,19,20,27,31
24,28,37,34,20,35,43,16,25,3,34,37
24,10,6,16,27,25,35,9,20,23,31,20
17,23,10,7,7,10,33,31,27,30,10,36
24,30,22,17,27,20,35,31,20,9,9,20
14,19,27,25,41,25,27,24,41,16,17,19
34,17,41,35,20,26,22,16,23,17,7,19
47,42,42,47,7,36,33,27,23,15,7,30
40,14,20,6,20,27,32,29,15,20,27,17
27,13,16,23,31,37,17,14,13,20,37,31
38,3,24,22,38,41,21,38,20,14,3,38
